@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 2\nSize of the tree: 3\n','Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 3\nSize of the tree: 5\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric
@attribute measureAttributesUsed numeric
@attribute measureNumIterations numeric

@data

Sterol_Present,3,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20211029.1505,2421,269,229,40,0,85.130112,14.869888,0,0,0.251059,0.355804,100,100,163.182646,163.182646,0,0.606627,0.606627,0,0,0,0,1,229,1,40,0,0,0,0,0.851301,1,0.919679,?,0.5,0.851301,0.851301,0.851301,0.148699,0.148699,?,0.851301,?,?,0.5,0.746825,?,0.851301,0,0,0,0,0,0,893,207149,24229,100,100,?,?,?,?,?,?,?
Sterol_Present,4,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20211029.1505,2421,269,230,39,0,85.501859,14.498141,0,0,0.248718,0.352084,100,100,160.631927,160.631927,0,0.597145,0.597145,0,0,0,0,1,230,1,39,0,0,0,0,0.855019,1,0.921844,?,0.5,0.855019,0.855019,0.855019,0.144981,0.144981,?,0.855019,?,?,0.5,0.752076,?,0.855019,0,0,0,0,0,0,893,207149,24229,100,100,?,?,?,?,?,?,?
Sterol_Present,4,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20211029.1505,2421,269,230,39,0,85.501859,14.498141,0,0,0.248718,0.352084,100,100,160.631927,160.631927,0,0.597145,0.597145,0,0,0,0,1,230,1,39,0,0,0,0,0.855019,1,0.921844,?,0.5,0.855019,0.855019,0.855019,0.144981,0.144981,?,0.855019,?,?,0.5,0.752076,?,0.855019,0,0,0,0,0,0,893,207149,24229,100,100,?,?,?,?,?,?,?
Sterol_Present,4,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20211029.1505,2421,269,230,39,0,85.501859,14.498141,0,0,0.248718,0.352084,100,100,160.631927,160.631927,0,0.597145,0.597145,0,0,0,0,1,230,1,39,0,0,0,0,0.855019,1,0.921844,?,0.5,0.855019,0.855019,0.855019,0.144981,0.144981,?,0.855019,?,?,0.5,0.752076,?,0.855019,0,0,0,0,0,0,893,207149,24229,100,100,?,?,?,?,?,?,?
Sterol_Present,4,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20211029.1505,2421,269,230,39,0,85.501859,14.498141,0,0,0.248718,0.352084,100,100,160.631927,160.631927,0,0.597145,0.597145,0,0,0,0,1,230,1,39,0,0,0,0,0.855019,1,0.921844,?,0.5,0.855019,0.855019,0.855019,0.144981,0.144981,?,0.855019,?,?,0.5,0.752076,?,0.855019,0,0,0,0,0,0,893,207149,24229,100,100,?,?,?,?,?,?,?
Sterol_Present,4,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20211029.1505,2421,269,230,39,0,85.501859,14.498141,0,0,0.248718,0.352084,100,100,160.631927,160.631927,0,0.597145,0.597145,0,0,0,0,1,230,1,39,0,0,0,0,0.855019,1,0.921844,?,0.5,0.855019,0.855019,0.855019,0.144981,0.144981,?,0.855019,?,?,0.5,0.752076,?,0.855019,0,0,0,0,0,0,893,207149,24229,100,100,?,?,?,?,?,?,?
Sterol_Present,4,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20211029.1505,2421,269,230,39,0,85.501859,14.498141,0,0,0.248718,0.352084,100,100,160.631927,160.631927,0,0.597145,0.597145,0,0,0,0,1,230,1,39,0,0,0,0,0.855019,1,0.921844,?,0.5,0.855019,0.855019,0.855019,0.144981,0.144981,?,0.855019,?,?,0.5,0.752076,?,0.855019,0,0.001,0,0,0,0,893,207149,24229,100,100,?,?,?,?,?,?,?
Sterol_Present,4,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20211029.1505,2421,269,230,39,0,85.501859,14.498141,0,0,0.248718,0.352084,100,100,160.631927,160.631927,0,0.597145,0.597145,0,0,0,0,1,230,1,39,0,0,0,0,0.855019,1,0.921844,?,0.5,0.855019,0.855019,0.855019,0.144981,0.144981,?,0.855019,?,?,0.5,0.752076,?,0.855019,0,0,0,0,0,0,893,207149,24229,100,100,?,?,?,?,?,?,?
Sterol_Present,4,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20211029.1505,2421,269,230,39,0,85.501859,14.498141,0,0,0.248718,0.352084,100,100,160.631927,160.631927,0,0.597145,0.597145,0,0,0,0,1,230,1,39,0,0,0,0,0.855019,1,0.921844,?,0.5,0.855019,0.855019,0.855019,0.144981,0.144981,?,0.855019,?,?,0.5,0.752076,?,0.855019,0.001,0,0.015625,0,15.625,0,893,207149,24229,100,100,?,?,?,?,?,?,?
Sterol_Present,4,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20211029.1505,2421,269,229,40,0,85.130112,14.869888,0,0,0.251059,0.355804,100,100,163.182646,163.182646,0,0.606627,0.606627,0,0,0,0,1,229,1,40,0,0,0,0,0.851301,1,0.919679,?,0.5,0.851301,0.851301,0.851301,0.148699,0.148699,?,0.851301,?,?,0.5,0.746825,?,0.851301,0,0,0,0,0,0,893,207149,24229,100,100,?,?,?,?,?,?,?
Sterol_Present,4,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20211029.1505,2421,269,229,40,0,85.130112,14.869888,0,0,0.251059,0.355804,100,100,163.182646,163.182646,0,0.606627,0.606627,0,0,0,0,1,229,1,40,0,0,0,0,0.851301,1,0.919679,?,0.5,0.851301,0.851301,0.851301,0.148699,0.148699,?,0.851301,?,?,0.5,0.746825,?,0.851301,0,0,0,0,0,0,893,207149,24229,100,100,?,?,?,?,?,?,?
Sterol_Present,5,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20211029.1505,2421,269,230,39,0,85.501859,14.498141,0,0,0.248718,0.352084,100,100,160.631927,160.631927,0,0.597145,0.597145,0,0,0,0,1,230,1,39,0,0,0,0,0.855019,1,0.921844,?,0.5,0.855019,0.855019,0.855019,0.144981,0.144981,?,0.855019,?,?,0.5,0.752076,?,0.855019,0,0,0,0,0,0,893,207149,24229,100,100,?,?,?,?,?,?,?
Sterol_Present,5,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20211029.1505,2421,269,230,39,0,85.501859,14.498141,0,0,0.248718,0.352084,100,100,160.631927,160.631927,0,0.597145,0.597145,0,0,0,0,1,230,1,39,0,0,0,0,0.855019,1,0.921844,?,0.5,0.855019,0.855019,0.855019,0.144981,0.144981,?,0.855019,?,?,0.5,0.752076,?,0.855019,0,0,0,0,0,0,893,207149,24229,100,100,?,?,?,?,?,?,?
Sterol_Present,5,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20211029.1505,2421,269,230,39,0,85.501859,14.498141,0,0,0.248718,0.352084,100,100,160.631927,160.631927,0,0.597145,0.597145,0,0,0,0,1,230,1,39,0,0,0,0,0.855019,1,0.921844,?,0.5,0.855019,0.855019,0.855019,0.144981,0.144981,?,0.855019,?,?,0.5,0.752076,?,0.855019,0,0,0,0,0,0,893,207149,24229,100,100,?,?,?,?,?,?,?
Sterol_Present,5,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20211029.1505,2421,269,230,39,0,85.501859,14.498141,0,0,0.248718,0.352084,100,100,160.631927,160.631927,0,0.597145,0.597145,0,0,0,0,1,230,1,39,0,0,0,0,0.855019,1,0.921844,?,0.5,0.855019,0.855019,0.855019,0.144981,0.144981,?,0.855019,?,?,0.5,0.752076,?,0.855019,0,0,0,0,0,0,893,207149,24229,100,100,?,?,?,?,?,?,?
Sterol_Present,5,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20211029.1505,2421,269,230,39,0,85.501859,14.498141,0,0,0.248718,0.352084,100,100,160.631927,160.631927,0,0.597145,0.597145,0,0,0,0,1,230,1,39,0,0,0,0,0.855019,1,0.921844,?,0.5,0.855019,0.855019,0.855019,0.144981,0.144981,?,0.855019,?,?,0.5,0.752076,?,0.855019,0,0,0,0,0,0,893,207149,24229,100,100,?,?,?,?,?,?,?
Sterol_Present,5,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20211029.1505,2421,269,230,39,0,85.501859,14.498141,0,0,0.248718,0.352084,100,100,160.631927,160.631927,0,0.597145,0.597145,0,0,0,0,1,230,1,39,0,0,0,0,0.855019,1,0.921844,?,0.5,0.855019,0.855019,0.855019,0.144981,0.144981,?,0.855019,?,?,0.5,0.752076,?,0.855019,0,0,0,0,0,0,893,207149,24229,100,100,?,?,?,?,?,?,?
Sterol_Present,5,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20211029.1505,2421,269,230,39,0,85.501859,14.498141,0,0,0.248718,0.352084,100,100,160.631927,160.631927,0,0.597145,0.597145,0,0,0,0,1,230,1,39,0,0,0,0,0.855019,1,0.921844,?,0.5,0.855019,0.855019,0.855019,0.144981,0.144981,?,0.855019,?,?,0.5,0.752076,?,0.855019,0,0,0,0,0,0,893,207149,24229,100,100,?,?,?,?,?,?,?
Sterol_Present,5,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20211029.1505,2421,269,230,39,0,85.501859,14.498141,0,0,0.248718,0.352084,100,100,160.631927,160.631927,0,0.597145,0.597145,0,0,0,0,1,230,1,39,0,0,0,0,0.855019,1,0.921844,?,0.5,0.855019,0.855019,0.855019,0.144981,0.144981,?,0.855019,?,?,0.5,0.752076,?,0.855019,0,0,0,0,0,0,893,207149,24229,100,100,?,?,?,?,?,?,?
Sterol_Present,5,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20211029.1505,2421,269,229,40,0,85.130112,14.869888,0,0,0.251059,0.355804,100,100,163.182646,163.182646,0,0.606627,0.606627,0,0,0,0,1,229,1,40,0,0,0,0,0.851301,1,0.919679,?,0.5,0.851301,0.851301,0.851301,0.148699,0.148699,?,0.851301,?,?,0.5,0.746825,?,0.851301,0,0,0,0,0,0,893,207149,24229,100,100,?,?,?,?,?,?,?
Sterol_Present,5,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20211029.1505,2421,269,229,40,0,85.130112,14.869888,0,0,0.251059,0.355804,100,100,163.182646,163.182646,0,0.606627,0.606627,0,0,0,0,1,229,1,40,0,0,0,0,0.851301,1,0.919679,?,0.5,0.851301,0.851301,0.851301,0.148699,0.148699,?,0.851301,?,?,0.5,0.746825,?,0.851301,0,0.001,0,0,0,0,893,207149,24229,100,100,?,?,?,?,?,?,?
Sterol_Present,6,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20211029.1505,2421,269,230,39,0,85.501859,14.498141,0,0,0.248718,0.352084,100,100,160.631927,160.631927,0,0.597145,0.597145,0,0,0,0,1,230,1,39,0,0,0,0,0.855019,1,0.921844,?,0.5,0.855019,0.855019,0.855019,0.144981,0.144981,?,0.855019,?,?,0.5,0.752076,?,0.855019,0,0,0,0,0,0,893,207149,24229,100,100,?,?,?,?,?,?,?
Sterol_Present,6,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20211029.1505,2421,269,230,39,0,85.501859,14.498141,0,0,0.248718,0.352084,100,100,160.631927,160.631927,0,0.597145,0.597145,0,0,0,0,1,230,1,39,0,0,0,0,0.855019,1,0.921844,?,0.5,0.855019,0.855019,0.855019,0.144981,0.144981,?,0.855019,?,?,0.5,0.752076,?,0.855019,0,0,0,0,0,0,893,207149,24229,100,100,?,?,?,?,?,?,?
Sterol_Present,6,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20211029.1505,2421,269,230,39,0,85.501859,14.498141,0,0,0.248718,0.352084,100,100,160.631927,160.631927,0,0.597145,0.597145,0,0,0,0,1,230,1,39,0,0,0,0,0.855019,1,0.921844,?,0.5,0.855019,0.855019,0.855019,0.144981,0.144981,?,0.855019,?,?,0.5,0.752076,?,0.855019,0,0.001,0,0,0,0,893,207149,24229,100,100,?,?,?,?,?,?,?
Sterol_Present,6,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20211029.1505,2421,269,230,39,0,85.501859,14.498141,0,0,0.248718,0.352084,100,100,160.631927,160.631927,0,0.597145,0.597145,0,0,0,0,1,230,1,39,0,0,0,0,0.855019,1,0.921844,?,0.5,0.855019,0.855019,0.855019,0.144981,0.144981,?,0.855019,?,?,0.5,0.752076,?,0.855019,0,0,0,0,0,0,893,207149,24229,100,100,?,?,?,?,?,?,?
Sterol_Present,6,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20211029.1505,2421,269,230,39,0,85.501859,14.498141,0,0,0.248718,0.352084,100,100,160.631927,160.631927,0,0.597145,0.597145,0,0,0,0,1,230,1,39,0,0,0,0,0.855019,1,0.921844,?,0.5,0.855019,0.855019,0.855019,0.144981,0.144981,?,0.855019,?,?,0.5,0.752076,?,0.855019,0,0,0,0,0,0,893,207149,24229,100,100,?,?,?,?,?,?,?
Sterol_Present,6,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20211029.1505,2421,269,230,39,0,85.501859,14.498141,0,0,0.248718,0.352084,100,100,160.631927,160.631927,0,0.597145,0.597145,0,0,0,0,1,230,1,39,0,0,0,0,0.855019,1,0.921844,?,0.5,0.855019,0.855019,0.855019,0.144981,0.144981,?,0.855019,?,?,0.5,0.752076,?,0.855019,0,0,0,0,0,0,893,207149,24229,100,100,?,?,?,?,?,?,?
Sterol_Present,6,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20211029.1505,2421,269,230,39,0,85.501859,14.498141,0,0,0.248718,0.352084,100,100,160.631927,160.631927,0,0.597145,0.597145,0,0,0,0,1,230,1,39,0,0,0,0,0.855019,1,0.921844,?,0.5,0.855019,0.855019,0.855019,0.144981,0.144981,?,0.855019,?,?,0.5,0.752076,?,0.855019,0,0,0,0,0,0,893,207149,24229,100,100,?,?,?,?,?,?,?
Sterol_Present,6,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20211029.1505,2421,269,230,39,0,85.501859,14.498141,0,0,0.248718,0.352084,100,100,160.631927,160.631927,0,0.597145,0.597145,0,0,0,0,1,230,1,39,0,0,0,0,0.855019,1,0.921844,?,0.5,0.855019,0.855019,0.855019,0.144981,0.144981,?,0.855019,?,?,0.5,0.752076,?,0.855019,0,0,0,0,0,0,893,207149,24229,100,100,?,?,?,?,?,?,?
